City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
323,paris,0,FR,1651344162,49,48.8534,2.3488,59.07,13.8
324,xiaoweizhai,100,CN,1651344416,87,26.1903,107.5125,50.72,8.77
325,kota tinggi,24,MY,1651344416,94,1.7381,103.8999,80.83,1.1
326,beyneu,54,KZ,1651344417,75,45.3167,55.2,64.83,11.32
327,puerto escondido,2,MX,1651344417,53,15.85,-97.0667,88.45,9.55
328,ferkessedougou,34,CI,1651344418,53,9.6,-5.2,84.0,11.74
329,ishigaki,75,JP,1651344418,100,24.3448,124.1572,73.53,9.22
330,cap-aux-meules,100,CA,1651344419,93,47.3821,-61.8597,35.65,21.85
331,port macquarie,9,AU,1651344419,87,-31.4333,152.9167,58.89,9.75
332,birao,98,CF,1651344420,28,10.2849,22.7882,89.89,3.65
333,carnarvon,0,AU,1651344420,52,-24.8667,113.6333,66.27,8.05
334,jiwani,98,PK,1651344421,64,25.05,61.7417,87.46,22.03
335,arlit,100,NE,1651344421,6,18.7369,7.3853,94.44,7.02
336,nykoping,0,SE,1651344422,71,58.753,17.0079,48.06,4.61
337,la belgica,20,BO,1651344423,61,-17.55,-63.2167,83.28,5.75
338,kloulklubed,100,PW,1651344423,74,7.0419,134.2556,73.9,4.83
339,jieshi,100,CN,1651344424,89,22.8134,115.8257,76.95,16.35
340,giyani,85,ZA,1651344424,54,-23.3025,30.7187,72.72,10.25
341,poum,1,NC,1651344225,77,-20.2333,164.0167,75.97,5.17
342,alta floresta,40,BR,1651344425,41,-9.8756,-56.0861,94.82,8.05
343,luau,100,AO,1651344425,59,-10.7073,22.2247,69.51,3.22
344,umba,96,RU,1651344426,89,66.6871,34.3429,26.55,4.88
345,ilulissat,40,GL,1651344427,39,69.2167,-51.1,24.82,14.97
346,guerrero negro,62,MX,1651344172,57,27.9769,-114.0611,68.09,13.56
347,mae chan,90,TH,1651344427,81,20.1467,99.8526,73.06,0.94
348,mandal,0,IN,1651344428,20,25.45,74.5667,91.13,8.37
349,banyo,100,CM,1651344429,96,6.75,11.8167,64.15,10.65
350,fortuna,100,US,1651344429,88,40.5982,-124.1573,56.93,4.61
351,sokolo,57,ML,1651344430,13,14.7328,-6.1219,98.53,9.22
352,zandvoort,40,NL,1651344430,68,52.3749,4.5341,50.92,6.91
353,krasnyy tkach,45,RU,1651344431,70,55.4721,39.0802,33.35,3.58
354,mount isa,60,AU,1651344431,82,-20.7333,139.5,65.97,0.0
355,severo-kurilsk,100,RU,1651344432,83,50.6789,156.125,33.08,7.25
356,buin,0,CL,1651344432,27,-33.7333,-70.75,71.92,2.28
357,isangel,100,VU,1651344433,94,-19.55,169.2667,73.51,4.61
358,leshukonskoye,71,RU,1651344434,96,64.8989,45.7622,23.11,2.98
359,kurchum,100,KZ,1651344434,19,48.5722,83.6542,64.53,17.36
360,pangnirtung,100,CA,1651344435,79,66.1451,-65.7125,21.2,3.44
361,port lincoln,38,AU,1651344435,81,-34.7333,135.8667,59.14,8.14
362,paidha,71,UG,1651344436,87,2.4167,30.9855,62.56,3.11
363,asosa,78,ET,1651344436,47,10.0667,34.5333,73.27,1.57
364,beloha,14,MG,1651344437,77,-25.1667,45.05,69.46,5.57
365,ahipara,9,NZ,1651344438,89,-35.1667,173.1667,57.16,6.67
366,ilo,0,PE,1651344438,73,-17.6394,-71.3375,68.86,11.5
367,la macarena,100,CO,1651344438,94,2.1837,-73.7849,73.27,3.87
368,ketchikan,0,US,1651344439,53,55.3422,-131.6461,50.47,12.66
369,bathsheba,20,BB,1651344439,70,13.2167,-59.5167,86.61,18.41
370,sultepec,8,MX,1651344440,16,18.8667,-99.95,77.25,7.76
371,buluang,67,PH,1651344440,93,13.3068,123.3425,75.6,2.73
372,akbarpur,10,IN,1651344441,54,26.4167,82.55,81.12,14.14
373,grindavik,75,IS,1651344441,76,63.8424,-22.4338,46.35,18.41
374,amapa,96,BR,1651344442,92,1.0,-52.0,78.76,3.11
375,anloga,20,GH,1651344442,74,5.7947,0.8973,83.5,10.78
376,winslow,0,US,1651344443,12,35.0242,-110.6974,66.38,5.75
377,wonthaggi,100,AU,1651344444,75,-38.6044,145.5913,57.81,17.4
378,okakarara,95,NA,1651344444,38,-20.5833,17.4333,69.62,5.73
379,diffa,100,NE,1651344445,20,13.3154,12.6113,96.53,5.5
380,port moresby,40,PG,1651344310,100,-9.4431,147.1797,74.62,2.3
381,kapuskasing,75,CA,1651344446,19,49.4169,-82.4331,62.6,9.22
382,fuxin,100,CN,1651344446,18,42.0156,121.6589,48.54,3.09
383,mayo,0,US,1651344446,30,38.8876,-76.5119,71.51,8.01
384,nioro,51,GM,1651344447,15,13.35,-15.75,97.2,10.49
385,bambous virieux,40,MU,1651344448,83,-20.3428,57.7575,77.25,12.66
386,porosozero,100,RU,1651344448,83,62.7191,32.727,33.84,7.2
387,nouadhibou,100,MR,1651344448,73,20.931,-17.0347,67.98,21.85
388,lagoa,0,PT,1651344449,86,39.05,-27.9833,61.16,11.74
389,camacha,20,PT,1651344449,77,33.0833,-16.3333,62.02,17.27
390,ouango,100,CF,1651344450,98,4.3133,22.5552,70.47,8.39
391,scarborough,100,GB,1651344450,65,54.2797,-0.4044,56.77,1.01
392,yeppoon,92,AU,1651344451,92,-23.1333,150.7333,67.78,8.5
393,zachary,20,US,1651344451,74,30.6485,-91.1565,87.75,11.5
394,roald,75,NO,1651344452,87,62.5833,6.1333,46.0,3.44
395,tholey,8,DE,1651344452,69,49.4837,7.0369,52.05,4.0
396,blagoyevo,89,RU,1651344453,92,63.3667,47.9167,25.43,3.74
397,rundu,95,NA,1651344453,37,-17.9333,19.7667,72.84,5.21
398,hearst,88,CA,1651344454,53,49.6835,-83.6665,61.05,7.83
399,rio gallegos,0,AR,1651344382,49,-51.6226,-69.2181,48.25,2.3
400,mangrol,0,IN,1651344454,83,21.1167,70.1167,82.71,11.23
401,kita,54,ML,1651344455,26,13.0349,-9.4895,96.03,2.62
402,fjerritslev,97,DK,1651344455,63,57.0813,9.2664,52.9,4.27
403,pierre,100,US,1651344456,83,44.3683,-100.351,43.86,24.16
404,sangod,24,IN,1651344456,20,24.9167,76.2833,95.77,11.56
405,inuvik,20,CA,1651344457,45,68.3499,-133.7218,47.26,4.61
406,kununurra,100,AU,1651344408,94,-15.7667,128.7333,78.78,3.44
407,vao,100,NC,1651344457,81,-22.6667,167.4833,75.25,22.39
408,coquimbo,20,CL,1651344289,77,-29.9533,-71.3436,58.73,12.66
409,nago,100,JP,1651344458,79,26.5881,127.9761,70.65,9.08
410,sokol,82,RU,1651344458,71,59.4617,40.1206,30.24,4.63
411,chanthaburi,54,TH,1651344459,92,12.8333,102.1667,71.6,0.89
412,tecpatan,6,MX,1651344372,37,17.1333,-93.3,94.15,3.87
413,moron,100,AR,1651344459,46,-34.6534,-58.6198,58.98,1.16
414,gold coast,100,AU,1651344460,96,-28.0,153.4333,68.18,8.05
415,ciudad del maiz,0,MX,1651344378,28,22.4,-99.6,89.15,0.98
416,mackay,7,AU,1651344461,94,-21.15,149.2,68.68,8.05
417,kargasok,99,RU,1651344461,75,59.0556,80.8572,30.72,7.29
418,langsa,98,ID,1651344462,96,4.4683,97.9683,76.48,1.95
